,send_time,recv_time
0,1701361226.8679261,1701361227.088028
1,1701361226.8815942,1701361227.3108687
2,1701361226.8970077,1701361227.5311964
3,1701361226.912718,1701361227.5311964
4,1701361226.9284823,1701361227.5311964
5,1701361226.9440844,1701361227.5311964
6,1701361226.959808,1701361227.5311964
7,1701361226.9754567,1701361227.5311964
8,1701361226.99064,1701361227.5311964
9,1701361227.00593,1701361227.5311964
10,1701361227.0214858,1701361227.5311964
11,1701361227.0371447,1701361227.5311964
12,1701361227.0531223,1701361227.5311964
13,1701361227.0687926,1701361227.5311964
14,1701361227.084856,1701361227.5311964
15,1701361227.1000507,1701361227.758535
16,1701361227.1162353,1701361227.758535
17,1701361227.1322525,1701361227.758535
18,1701361227.1475072,1701361227.758535
19,1701361227.1630008,1701361227.758535
20,1701361227.1789987,1701361227.758535
21,1701361227.1947446,1701361227.758535
22,1701361227.2107024,1701361227.758535
23,1701361227.2249055,1701361227.758535
24,1701361227.2401433,1701361227.7595317
25,1701361227.2561464,1701361227.7595317
26,1701361227.2719376,1701361227.7595317
27,1701361227.2878954,1701361227.7595317
28,1701361227.3028927,1701361227.7595317
29,1701361227.3188465,1701361227.976042
30,1701361227.334772,1701361227.976042
31,1701361227.3505938,1701361227.976042
32,1701361227.3656552,1701361227.976042
33,1701361227.381008,1701361227.976042
34,1701361227.3963444,1701361227.976042
35,1701361227.412302,1701361227.9770396
36,1701361227.433247,1701361227.9770396
37,1701361227.4442246,1701361227.9770396
38,1701361227.4593527,1701361227.9770396
39,1701361227.4783418,1701361227.9770396
40,1701361227.4992821,1701361227.9770396
41,1701361227.5072618,1701361227.9770396
42,1701361227.523218,1701361227.9770396
43,1701361227.5411668,1701361228.1998632
44,1701361227.5561402,1701361228.1998632
45,1701361227.572118,1701361228.1998632
46,1701361227.5850859,1701361228.1998632
47,1701361227.6000519,1701361228.1998632
48,1701361227.6149642,1701361228.1998632
49,1701361227.6299548,1701361228.1998632
50,1701361227.6459255,1701361228.1998632
51,1701361227.6618283,1701361228.1998632
52,1701361227.677831,1701361228.1998632
53,1701361227.6925395,1701361228.1998632
54,1701361227.7084966,1701361228.1998632
55,1701361227.7244515,1701361228.1998632
56,1701361227.74557,1701361228.1998632
57,1701361227.7595317,1701361228.4165525
58,1701361227.7734993,1701361228.4165525
59,1701361227.788756,1701361228.4165525
60,1701361227.8020184,1701361228.4165525
61,1701361227.8179452,1701361228.4165525
62,1701361227.8337643,1701361228.4165525
63,1701361227.8491042,1701361228.4165525
64,1701361227.865064,1701361228.4165525
65,1701361227.879968,1701361228.4165525
66,1701361227.8959296,1701361228.4165525
67,1701361227.9108825,1701361228.4165525
68,1701361227.9260335,1701361228.4165525
69,1701361227.9419959,1701361228.4165525
70,1701361227.9573693,1701361228.4165525
71,1701361227.9770396,1701361228.6457934
72,1701361227.9920008,1701361228.6457934
73,1701361228.0049202,1701361228.6457934
74,1701361228.020107,1701361228.6457934
75,1701361228.0358658,1701361228.6457934
76,1701361228.0518432,1701361228.6457934
77,1701361228.0678008,1701361228.6457934
78,1701361228.0837545,1701361228.6457934
79,1701361228.0997097,1701361228.6457934
80,1701361228.1146674,1701361228.6457934
81,1701361228.1301842,1701361228.6457934
82,1701361228.146157,1701361228.6457934
83,1701361228.162106,1701361228.6457934
84,1701361228.1779175,1701361228.6457934
85,1701361228.198868,1701361228.8598278
86,1701361228.2108319,1701361228.8598278
87,1701361228.2248,1701361228.8598278
88,1701361228.2427475,1701361228.8598278
89,1701361228.2557151,1701361228.8598278
90,1701361228.275665,1701361228.8598278
91,1701361228.2884383,1701361228.8598278
92,1701361228.3029175,1701361228.8598278
93,1701361228.3183777,1701361228.8598278
94,1701361228.3334742,1701361228.8598278
95,1701361228.3489702,1701361228.8598278
96,1701361228.3645709,1701361228.8598278
97,1701361228.380085,1701361228.8598278
98,1701361228.3960083,1701361228.8598278
99,1701361228.4115753,1701361228.8598278
100,1701361228.4275205,1701361229.0808227
101,1701361228.4434764,1701361229.0808227
102,1701361228.459435,1701361229.0808227
103,1701361228.475383,1701361229.0808227
104,1701361228.4910724,1701361229.0808227
105,1701361228.5077527,1701361229.0808227
106,1701361228.5286891,1701361229.0808227
107,1701361228.5446482,1701361229.0808227
108,1701361228.5544856,1701361229.0808227
109,1701361228.5704536,1701361229.0808227
110,1701361228.5864103,1701361229.0808227
111,1701361228.6020508,1701361229.0808227
112,1701361228.6178677,1701361229.0808227
113,1701361228.6338336,1701361229.0808227
114,1701361228.649799,1701361229.302282
115,1701361228.6657398,1701361229.302282
116,1701361228.6816947,1701361229.302282
117,1701361228.6969297,1701361229.302282
118,1701361228.712867,1701361229.302282
119,1701361228.7285683,1701361229.302282
120,1701361228.7442296,1701361229.302282
121,1701361228.760968,1701361229.302282
122,1701361228.7766745,1701361229.302282
123,1701361228.7910213,1701361229.302282
124,1701361228.808053,1701361229.302282
125,1701361228.8227162,1701361229.302282
126,1701361228.838002,1701361229.302282
127,1701361228.8538368,1701361229.302282
128,1701361228.8688717,1701361229.52491
129,1701361228.8840282,1701361229.52491
130,1701361228.8999865,1701361229.52491
131,1701361228.915381,1701361229.52491
132,1701361228.9308183,1701361229.52491
133,1701361228.9467177,1701361229.52491
134,1701361228.9626741,1701361229.52491
135,1701361228.978743,1701361229.52491
136,1701361228.9944372,1701361229.52491
137,1701361229.010392,1701361229.52491
138,1701361229.0273972,1701361229.52491
139,1701361229.0424757,1701361229.52491
140,1701361229.057951,1701361229.52491
141,1701361229.0768282,1701361229.52491
142,1701361229.0925114,1701361229.7419264
143,1701361229.1048124,1701361229.7419264
144,1701361229.1207733,1701361229.7419264
145,1701361229.1536787,1701361229.7419264
146,1701361229.1686397,1701361229.7419264
147,1701361229.1846015,1701361229.7419264
148,1701361229.2195044,1701361229.7419264
149,1701361229.236458,1701361229.7419264
150,1701361229.2474287,1701361229.7419264
151,1701361229.263385,1701361229.7419264
152,1701361229.283332,1701361229.7419264
153,1701361229.2953057,1701361229.7419264
154,1701361229.3112633,1701361229.9647377
155,1701361229.3341973,1701361229.9647377
156,1701361229.3431752,1701361229.9647377
157,1701361229.3581371,1701361229.9647377
158,1701361229.3750927,1701361229.9647377
159,1701361229.3910544,1701361229.9647377
160,1701361229.406011,1701361229.9647377
161,1701361229.4249566,1701361229.9647377
162,1701361229.4369202,1701361229.9647377
163,1701361229.4523568,1701361229.9647377
164,1701361229.4683726,1701361229.9647377
165,1701361229.4840627,1701361229.9647377
166,1701361229.499362,1701361229.9647377
167,1701361229.514701,1701361229.9647377
168,1701361229.5299203,1701361230.1833692
169,1701361229.5459318,1701361230.1833692
170,1701361229.5616188,1701361230.1833692
171,1701361229.5777318,1701361230.1833692
172,1701361229.5936747,1701361230.1833692
173,1701361229.6096077,1701361230.1833692
174,1701361229.6252563,1701361230.1833692
175,1701361229.641866,1701361230.1833692
176,1701361229.6565485,1701361230.1833692
177,1701361229.6725237,1701361230.1833692
178,1701361229.6909363,1701361230.1833692
179,1701361229.703892,1701361230.1833692
180,1701361229.7198505,1701361230.1833692
181,1701361229.735937,1701361230.1833692
182,1701361229.7518804,1701361230.4017837
183,1701361229.7675822,1701361230.4017837
184,1701361229.7822616,1701361230.4017837
185,1701361229.797945,1701361230.4017837
186,1701361229.8156185,1701361230.4017837
187,1701361229.8295846,1701361230.4017837
188,1701361229.8455684,1701361230.4017837
189,1701361229.861683,1701361230.4017837
190,1701361229.8777251,1701361230.4017837
191,1701361229.893706,1701361230.4017837
192,1701361229.9097311,1701361230.4017837
193,1701361229.9256682,1701361230.4017837
194,1701361229.9416964,1701361230.4017837
195,1701361229.957739,1701361230.4017837
196,1701361229.974427,1701361230.6261072
197,1701361229.9888914,1701361230.6261072
198,1701361230.00442,1701361230.6261072
199,1701361230.0203786,1701361230.6261072
200,1701361230.0364196,1701361230.6261072
201,1701361230.0523813,1701361230.6261072
202,1701361230.0679615,1701361230.6261072
203,1701361230.0834708,1701361230.6261072
204,1701361230.0994534,1701361230.6261072
205,1701361230.1154516,1701361230.6261072
206,1701361230.1345072,1701361230.6261072
207,1701361230.1514554,1701361230.6261072
208,1701361230.1654167,1701361230.6261072
209,1701361230.1803944,1701361230.6261072
210,1701361230.1963396,1701361230.8437707
211,1701361230.2132888,1701361230.8437707
212,1701361230.2272522,1701361230.8437707
213,1701361230.2442102,1701361230.8437707
214,1701361230.2621596,1701361230.8437707
215,1701361230.2751236,1701361230.8437707
216,1701361230.296068,1701361230.8437707
217,1701361230.3160145,1701361230.8447695
218,1701361230.3319738,1701361230.8447695
219,1701361230.345937,1701361230.8447695
220,1701361230.3549094,1701361230.8447695
221,1701361230.3708682,1701361230.8447695
222,1701361230.3868258,1701361230.8447695
223,1701361230.4027822,1701361231.0636904
224,1701361230.4183571,1701361231.0636904
225,1701361230.4337547,1701361231.0636904
226,1701361230.4489784,1701361231.0636904
227,1701361230.4819024,1701361231.0636904
228,1701361230.4968567,1701361231.0636904
229,1701361230.512869,1701361231.0636904
230,1701361230.528314,1701361231.0636904
